"variable1","variable2","Indicator","variable_group_1","variable_group_2","variable3","variable_group_3","variable4","variable_group_4","indicator_title"
"age","sex","3.4.1","age","sex/gender","country","geography - high level","region","geography - mid-level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"age","sex","3.4.1","age","sex/gender","region","geography - mid-level","country","geography - high level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"country","age","3.4.1","geography - high level","age","region","geography - mid-level","sex","sex/gender","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"country","age","3.4.1","geography - high level","age",NA,NA,NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"country","age","3.4.1","geography - high level","age","region","geography - mid-level",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"country","age","3.4.1","geography - high level","age","sex","sex/gender",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"country","age","3.4.1","geography - high level","age","sex","sex/gender","region","geography - mid-level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"country","region","3.4.1","geography - high level","geography - mid-level","age","age","sex","sex/gender","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"country","region","3.4.1","geography - high level","geography - mid-level","age","age",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"country","region","3.4.1","geography - high level","geography - mid-level","sex","sex/gender","age","age","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"country","sex","3.4.1","geography - high level","sex/gender","age","age",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"country","sex","3.4.1","geography - high level","sex/gender","age","age","region","geography - mid-level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"country","sex","3.4.1","geography - high level","sex/gender","region","geography - mid-level","age","age","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"region","age","3.4.1","geography - mid-level","age","country","geography - high level","sex","sex/gender","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"region","age","3.4.1","geography - mid-level","age","country","geography - high level",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"region","age","3.4.1","geography - mid-level","age","sex","sex/gender","country","geography - high level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"region","country","3.4.1","geography - mid-level","geography - high level","age","age","sex","sex/gender","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"region","country","3.4.1","geography - mid-level","geography - high level","age","age",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"region","country","3.4.1","geography - mid-level","geography - high level","sex","sex/gender","age","age","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"region","sex","3.4.1","geography - mid-level","sex/gender","age","age","country","geography - high level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"region","sex","3.4.1","geography - mid-level","sex/gender","country","geography - high level","age","age","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"sex","age","3.4.1","sex/gender","age","country","geography - high level",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"sex","age","3.4.1","sex/gender","age","country","geography - high level","region","geography - mid-level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"sex","age","3.4.1","sex/gender","age","region","geography - mid-level","country","geography - high level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"sex","country","3.4.1","sex/gender","geography - high level","age","age",NA,NA,"3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"sex","country","3.4.1","sex/gender","geography - high level","age","age","region","geography - mid-level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"sex","country","3.4.1","sex/gender","geography - high level","region","geography - mid-level","age","age","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"sex","region","3.4.1","sex/gender","geography - mid-level","age","age","country","geography - high level","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"sex","region","3.4.1","sex/gender","geography - mid-level","country","geography - high level","age","age","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
"age","country","3.4.2","age","geography - high level",NA,NA,NA,NA,"3.4.2 Suicide mortality rate"
"age","country","3.4.2","age","geography - high level","sex","sex/gender",NA,NA,"3.4.2 Suicide mortality rate"
"age","sex","3.4.2","age","sex/gender","country","geography - high level",NA,NA,"3.4.2 Suicide mortality rate"
"age","sex","3.4.2","age","sex/gender",NA,NA,NA,NA,"3.4.2 Suicide mortality rate"
"country","age","3.4.2","geography - high level","age",NA,NA,NA,NA,"3.4.2 Suicide mortality rate"
"country","age","3.4.2","geography - high level","age","sex","sex/gender",NA,NA,"3.4.2 Suicide mortality rate"
"country","region","3.4.2","geography - high level","geography - mid-level",NA,NA,NA,NA,"3.4.2 Suicide mortality rate"
"country","region","3.4.2","geography - high level","geography - mid-level","sex","sex/gender",NA,NA,"3.4.2 Suicide mortality rate"
"country","sex","3.4.2","geography - high level","sex/gender",NA,NA,NA,NA,"3.4.2 Suicide mortality rate"
"country","sex","3.4.2","geography - high level","sex/gender","age","age",NA,NA,"3.4.2 Suicide mortality rate"
"country","sex","3.4.2","geography - high level","sex/gender","region","geography - mid-level",NA,NA,"3.4.2 Suicide mortality rate"
"region","country","3.4.2","geography - mid-level","geography - high level",NA,NA,NA,NA,"3.4.2 Suicide mortality rate"
"region","country","3.4.2","geography - mid-level","geography - high level","sex","sex/gender",NA,NA,"3.4.2 Suicide mortality rate"
"region","sex","3.4.2","geography - mid-level","sex/gender",NA,NA,NA,NA,"3.4.2 Suicide mortality rate"
"region","sex","3.4.2","geography - mid-level","sex/gender","country","geography - high level",NA,NA,"3.4.2 Suicide mortality rate"
"sex","age","3.4.2","sex/gender","age","country","geography - high level",NA,NA,"3.4.2 Suicide mortality rate"
"sex","age","3.4.2","sex/gender","age",NA,NA,NA,NA,"3.4.2 Suicide mortality rate"
"sex","country","3.4.2","sex/gender","geography - high level",NA,NA,NA,NA,"3.4.2 Suicide mortality rate"
"sex","country","3.4.2","sex/gender","geography - high level","age","age",NA,NA,"3.4.2 Suicide mortality rate"
"sex","country","3.4.2","sex/gender","geography - high level","region","geography - mid-level",NA,NA,"3.4.2 Suicide mortality rate"
"sex","region","3.4.2","sex/gender","geography - mid-level",NA,NA,NA,NA,"3.4.2 Suicide mortality rate"
"sex","region","3.4.2","sex/gender","geography - mid-level","country","geography - high level",NA,NA,"3.4.2 Suicide mortality rate"
"age","country","3.6.1","age","geography - high level",NA,NA,NA,NA,"3.6.1 Death rate due to road traffic injuries"
"age","country","3.6.1","age","geography - high level","sex","sex/gender",NA,NA,"3.6.1 Death rate due to road traffic injuries"
"age","sex","3.6.1","age","sex/gender","country","geography - high level",NA,NA,"3.6.1 Death rate due to road traffic injuries"
"age","sex","3.6.1","age","sex/gender",NA,NA,NA,NA,"3.6.1 Death rate due to road traffic injuries"
"country","age","3.6.1","geography - high level","age",NA,NA,NA,NA,"3.6.1 Death rate due to road traffic injuries"
"country","age","3.6.1","geography - high level","age","sex","sex/gender",NA,NA,"3.6.1 Death rate due to road traffic injuries"
"country","region","3.6.1","geography - high level","geography - mid-level",NA,NA,NA,NA,"3.6.1 Death rate due to road traffic injuries"
"country","sex","3.6.1","geography - high level","sex/gender",NA,NA,NA,NA,"3.6.1 Death rate due to road traffic injuries"
"country","sex","3.6.1","geography - high level","sex/gender","age","age",NA,NA,"3.6.1 Death rate due to road traffic injuries"
"region","country","3.6.1","geography - mid-level","geography - high level",NA,NA,NA,NA,"3.6.1 Death rate due to road traffic injuries"
"sex","age","3.6.1","sex/gender","age","country","geography - high level",NA,NA,"3.6.1 Death rate due to road traffic injuries"
"sex","age","3.6.1","sex/gender","age",NA,NA,NA,NA,"3.6.1 Death rate due to road traffic injuries"
"sex","country","3.6.1","sex/gender","geography - high level",NA,NA,NA,NA,"3.6.1 Death rate due to road traffic injuries"
"sex","country","3.6.1","sex/gender","geography - high level","age","age",NA,NA,"3.6.1 Death rate due to road traffic injuries"
"local authority","region","3.7.1","geography - low level","geography - mid-level",NA,NA,NA,NA,"3.7.1 Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods"
"region","local authority","3.7.1","geography - mid-level","geography - low level",NA,NA,NA,NA,"3.7.1 Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods"
"age","country","3.7.2","age","geography - high level",NA,NA,NA,NA,"3.7.2 Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group"
"country","age","3.7.2","geography - high level","age",NA,NA,NA,NA,"3.7.2 Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group"
"county","region","3.9.1","geography - low level","geography - mid-level",NA,NA,NA,NA,"3.9.1 Mortality rate attributed to household and ambient air pollution"
"local authority","region","3.9.1","geography - low level","geography - mid-level",NA,NA,NA,NA,"3.9.1 Mortality rate attributed to household and ambient air pollution"
"region","county","3.9.1","geography - mid-level","geography - low level",NA,NA,NA,NA,"3.9.1 Mortality rate attributed to household and ambient air pollution"
"region","local authority","3.9.1","geography - mid-level","geography - low level",NA,NA,NA,NA,"3.9.1 Mortality rate attributed to household and ambient air pollution"
"country","sex","3.9.2","geography - high level","sex/gender",NA,NA,NA,NA,"3.9.2 Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)"
"sex","country","3.9.2","sex/gender","geography - high level",NA,NA,NA,NA,"3.9.2 Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)"
"age","country","3.9.3","age","geography - high level",NA,NA,NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"age","country","3.9.3","age","geography - high level","sex","sex/gender",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"age","sex","3.9.3","age","sex/gender","country","geography - high level",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"age","sex","3.9.3","age","sex/gender",NA,NA,NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"country","age","3.9.3","geography - high level","age",NA,NA,NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"country","age","3.9.3","geography - high level","age","sex","sex/gender",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"country","region","3.9.3","geography - high level","geography - mid-level",NA,NA,NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"country","region","3.9.3","geography - high level","geography - mid-level","sex","sex/gender",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"country","sex","3.9.3","geography - high level","sex/gender",NA,NA,NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"country","sex","3.9.3","geography - high level","sex/gender","age","age",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"country","sex","3.9.3","geography - high level","sex/gender","region","geography - mid-level",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"region","country","3.9.3","geography - mid-level","geography - high level",NA,NA,NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"region","country","3.9.3","geography - mid-level","geography - high level","sex","sex/gender",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"region","sex","3.9.3","geography - mid-level","sex/gender",NA,NA,NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"region","sex","3.9.3","geography - mid-level","sex/gender","country","geography - high level",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"sex","age","3.9.3","sex/gender","age","country","geography - high level",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"sex","age","3.9.3","sex/gender","age",NA,NA,NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"sex","country","3.9.3","sex/gender","geography - high level",NA,NA,NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"sex","country","3.9.3","sex/gender","geography - high level","age","age",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"sex","country","3.9.3","sex/gender","geography - high level","region","geography - mid-level",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"sex","region","3.9.3","sex/gender","geography - mid-level",NA,NA,NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"sex","region","3.9.3","sex/gender","geography - mid-level","country","geography - high level",NA,NA,"3.9.3 Mortality rate attributed to unintentional poisoning"
"age","country","3.a.1","age","geography - high level",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","country","3.a.1","age","geography - high level","region","geography - mid-level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","country","3.a.1","age","geography - high level","region","geography - mid-level","sex","sex/gender","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","country","3.a.1","age","geography - high level","sex","sex/gender",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","country","3.a.1","age","geography - high level","sex","sex/gender","region","geography - mid-level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","region","3.a.1","age","geography - mid-level","country","geography - high level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","region","3.a.1","age","geography - mid-level","country","geography - high level","sex","sex/gender","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","region","3.a.1","age","geography - mid-level",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","region","3.a.1","age","geography - mid-level","sex","sex/gender","country","geography - high level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","region","3.a.1","age","geography - mid-level","sex","sex/gender",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","sex","3.a.1","age","sex/gender","country","geography - high level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","sex","3.a.1","age","sex/gender",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","sex","3.a.1","age","sex/gender","country","geography - high level","region","geography - mid-level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","sex","3.a.1","age","sex/gender","region","geography - mid-level","country","geography - high level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","sex","3.a.1","age","sex/gender","region","geography - mid-level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","age","3.a.1","geography - high level","age",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","age","3.a.1","geography - high level","age","region","geography - mid-level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","age","3.a.1","geography - high level","age","region","geography - mid-level","sex","sex/gender","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","age","3.a.1","geography - high level","age","sex","sex/gender",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","age","3.a.1","geography - high level","age","sex","sex/gender","region","geography - mid-level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","country of birth","3.a.1","geography - high level","migration status etc",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","ethnicity","3.a.1","geography - high level","ethnicity",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","ethnicity","3.a.1","geography - high level","ethnicity","sex","sex/gender",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","region","3.a.1","geography - high level","geography - mid-level","age","age",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","region","3.a.1","geography - high level","geography - mid-level",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","region","3.a.1","geography - high level","geography - mid-level","age","age","sex","sex/gender","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","region","3.a.1","geography - high level","geography - mid-level","sex","sex/gender","age","age","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","region","3.a.1","geography - high level","geography - mid-level","sex","sex/gender",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","sex","3.a.1","geography - high level","sex/gender","age","age",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","sex","3.a.1","geography - high level","sex/gender",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","sex","3.a.1","geography - high level","sex/gender","age","age","region","geography - mid-level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","sex","3.a.1","geography - high level","sex/gender","ethnicity","ethnicity",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","sex","3.a.1","geography - high level","sex/gender","region","geography - mid-level","age","age","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country","sex","3.a.1","geography - high level","sex/gender","region","geography - mid-level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"country of birth","country","3.a.1","migration status etc","geography - high level",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"ethnicity","country","3.a.1","ethnicity","geography - high level",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"ethnicity","country","3.a.1","ethnicity","geography - high level","sex","sex/gender",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"ethnicity","sex","3.a.1","ethnicity","sex/gender",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"ethnicity","sex","3.a.1","ethnicity","sex/gender","country","geography - high level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","age","3.a.1","geography - mid-level","age","country","geography - high level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","age","3.a.1","geography - mid-level","age","country","geography - high level","sex","sex/gender","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","age","3.a.1","geography - mid-level","age",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","age","3.a.1","geography - mid-level","age","sex","sex/gender","country","geography - high level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","age","3.a.1","geography - mid-level","age","sex","sex/gender",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","country","3.a.1","geography - mid-level","geography - high level","age","age",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","country","3.a.1","geography - mid-level","geography - high level",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","country","3.a.1","geography - mid-level","geography - high level","age","age","sex","sex/gender","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","country","3.a.1","geography - mid-level","geography - high level","sex","sex/gender","age","age","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","country","3.a.1","geography - mid-level","geography - high level","sex","sex/gender",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","sex","3.a.1","geography - mid-level","sex/gender","age","age","country","geography - high level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","sex","3.a.1","geography - mid-level","sex/gender","age","age",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","sex","3.a.1","geography - mid-level","sex/gender",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","sex","3.a.1","geography - mid-level","sex/gender","country","geography - high level","age","age","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"region","sex","3.a.1","geography - mid-level","sex/gender","country","geography - high level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","age","3.a.1","sex/gender","age","country","geography - high level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","age","3.a.1","sex/gender","age",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","age","3.a.1","sex/gender","age","country","geography - high level","region","geography - mid-level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","age","3.a.1","sex/gender","age","region","geography - mid-level","country","geography - high level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","age","3.a.1","sex/gender","age","region","geography - mid-level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","country","3.a.1","sex/gender","geography - high level","age","age",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","country","3.a.1","sex/gender","geography - high level",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","country","3.a.1","sex/gender","geography - high level","age","age","region","geography - mid-level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","country","3.a.1","sex/gender","geography - high level","ethnicity","ethnicity",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","country","3.a.1","sex/gender","geography - high level","region","geography - mid-level","age","age","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","country","3.a.1","sex/gender","geography - high level","region","geography - mid-level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","ethnicity","3.a.1","sex/gender","ethnicity",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","ethnicity","3.a.1","sex/gender","ethnicity","country","geography - high level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","region","3.a.1","sex/gender","geography - mid-level","age","age","country","geography - high level","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","region","3.a.1","sex/gender","geography - mid-level","age","age",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","region","3.a.1","sex/gender","geography - mid-level",NA,NA,NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","region","3.a.1","sex/gender","geography - mid-level","country","geography - high level","age","age","3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"sex","region","3.a.1","sex/gender","geography - mid-level","country","geography - high level",NA,NA,"3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15 years and older"
"age","country","3.b.1","age","geography - high level","region","geography - mid-level",NA,NA,"3.b.1 Proportion of the target population covered by all vaccines included in their national programme"
"age","country","3.b.1","age","geography - high level",NA,NA,NA,NA,"3.b.1 Proportion of the target population covered by all vaccines included in their national programme"
"age","region","3.b.1","age","geography - mid-level","country","geography - high level",NA,NA,"3.b.1 Proportion of the target population covered by all vaccines included in their national programme"
"country","age","3.b.1","geography - high level","age","region","geography - mid-level",NA,NA,"3.b.1 Proportion of the target population covered by all vaccines included in their national programme"
"country","age","3.b.1","geography - high level","age",NA,NA,NA,NA,"3.b.1 Proportion of the target population covered by all vaccines included in their national programme"
"country","region","3.b.1","geography - high level","geography - mid-level","age","age",NA,NA,"3.b.1 Proportion of the target population covered by all vaccines included in their national programme"
"region","age","3.b.1","geography - mid-level","age","country","geography - high level",NA,NA,"3.b.1 Proportion of the target population covered by all vaccines included in their national programme"
"region","country","3.b.1","geography - mid-level","geography - high level","age","age",NA,NA,"3.b.1 Proportion of the target population covered by all vaccines included in their national programme"
"ethnic group","ethnicity","4.1.1","ethnic group","ethnicity",NA,NA,NA,NA,"4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
"ethnicity","ethnic group","4.1.1","ethnicity","ethnic group",NA,NA,NA,NA,"4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
"free school meals","sex","4.1.1","wealth","sex/gender",NA,NA,NA,NA,"4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
"local authority","region","4.1.1","geography - low level","geography - mid-level",NA,NA,NA,NA,"4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
"region","local authority","4.1.1","geography - mid-level","geography - low level",NA,NA,NA,NA,"4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
"sex","free school meals","4.1.1","sex/gender","wealth",NA,NA,NA,NA,"4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
"sex","special educational needs","4.1.1","sex/gender","disability status etc",NA,NA,NA,NA,"4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
"special educational needs","sex","4.1.1","disability status etc","sex/gender",NA,NA,NA,NA,"4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
"ethnic group","ethnicity","4.2.1","ethnic group","ethnicity",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"ethnic group","ethnicity","4.2.1","ethnic group","ethnicity","gender","sex/gender",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"ethnic group","gender","4.2.1","ethnic group","sex/gender","ethnicity","ethnicity",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"ethnic group","gender","4.2.1","ethnic group","sex/gender",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"ethnicity","ethnic group","4.2.1","ethnicity","ethnic group",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
